FID	IID	Pop_inferred
HG02383	HG02383	EAS
HG02384	HG02384	EAS
HG02385	HG02385	EAS
HG02386	HG02386	EAS
HG02387	HG02387	EAS
HG02388	HG02388	EAS
HG02389	HG02389	EAS
HG02390	HG02390	EAS
HG02391	HG02391	EAS
HG02392	HG02392	EAS
HG02394	HG02394	EAS
HG02395	HG02395	EAS
HG02396	HG02396	EAS
HG02397	HG02397	EAS
HG02398	HG02398	EAS
HG02399	HG02399	EAS
HG02401	HG02401	EAS
HG02402	HG02402	EAS
HG02405	HG02405	EAS
HG02406	HG02406	EAS
HG02407	HG02407	EAS
HG02408	HG02408	EAS
HG02409	HG02409	EAS
HG02410	HG02410	EAS
1328	NA06984	EUR
1328	NA06989	EUR
1328	NA12329	EUR
13281	NA12344	EUR
13281	NA12347	EUR
13281	NA12348	EUR
13291	NA06986	EUR
13291	NA06995	EUR
13291	NA06997	EUR
13291	NA07037	EUR
13291	NA07045	EUR
13291	NA07435	EUR
13292	NA07014	EUR
13292	NA07031	EUR
13292	NA07051	EUR
1330	NA12335	EUR
1330	NA12336	EUR
1330	NA12340	EUR
1330	NA12341	EUR
1330	NA12342	EUR
1330	NA12343	EUR
1331	NA07340	EUR
1334	NA10846	EUR
1334	NA10847	EUR
1334	NA12144	EUR
1334	NA12145	EUR
1334	NA12146	EUR
1334	NA12239	EUR
1340	NA06994	EUR
1340	NA07000	EUR
1340	NA07019	EUR
1340	NA07022	EUR
1340	NA07029	EUR
1340	NA07056	EUR
1341	NA06985	EUR
1341	NA06991	EUR
1341	NA06993	EUR
1341	NA07034	EUR
1341	NA07048	EUR
1341	NA07055	EUR
1344	NA10850	EUR
1344	NA10851	EUR
1344	NA12056	EUR
1344	NA12057	EUR
1344	NA12058	EUR
1345	NA07345	EUR
1345	NA07346	EUR
1345	NA07347	EUR
1345	NA07348	EUR
1345	NA07349	EUR
1345	NA07357	EUR
1346	NA10852	EUR
1346	NA10857	EUR
1346	NA12043	EUR
1346	NA12044	EUR
1346	NA12045	EUR
1346	NA12046	EUR
1347	NA10859	EUR
1347	NA11881	EUR
1347	NA11882	EUR
1349	NA10853	EUR
1349	NA10854	EUR
1349	NA11839	EUR
1349	NA11840	EUR
1349	NA11843	EUR
1350	NA10855	EUR
1350	NA10856	EUR
1350	NA11829	EUR
1350	NA11830	EUR
1350	NA11831	EUR
1350	NA11832	EUR
1353	NA12375	EUR
1353	NA12376	EUR
1353	NA12383	EUR
1353	NA12489	EUR
1353	NA12546	EUR
1354	NA12386	EUR
1354	NA12399	EUR
1354	NA12400	EUR
1355	NA12413	EUR
1355	NA12414	EUR
1355	NA12485	EUR
1358	NA12707	EUR
1358	NA12708	EUR
1358	NA12716	EUR
1358	NA12717	EUR
1358	NA12718	EUR
1362	NA10860	EUR
1362	NA10861	EUR
1362	NA11992	EUR
1362	NA11993	EUR
1362	NA11994	EUR
1362	NA11995	EUR
1375	NA10863	EUR
1375	NA12234	EUR
1375	NA12264	EUR
1377	NA10864	EUR
1377	NA10865	EUR
1377	NA11891	EUR
1377	NA11892	EUR
1377	NA11893	EUR
1377	NA11894	EUR
1408	NA10830	EUR
1408	NA10831	EUR
1408	NA12154	EUR
1408	NA12155	EUR
1408	NA12156	EUR
1408	NA12236	EUR
1416	NA10835	EUR
1416	NA12248	EUR
1416	NA12249	EUR
1418	NA10836	EUR
1418	NA10837	EUR
1418	NA12272	EUR
1418	NA12273	EUR
1418	NA12274	EUR
1418	NA12275	EUR
1420	NA10838	EUR
1420	NA10839	EUR
1420	NA12003	EUR
1420	NA12004	EUR
1420	NA12005	EUR
1420	NA12006	EUR
1421	NA10840	EUR
1421	NA12286	EUR
1421	NA12287	EUR
1421a	NA12282	EUR
1421a	NA12283	EUR
1423	NA10842	EUR
1423	NA10843	EUR
1423	NA11917	EUR
1423	NA11918	EUR
1423	NA11919	EUR
1423	NA11920	EUR
1424	NA10845	EUR
1424	NA11930	EUR
1424	NA11931	EUR
1424a	NA11932	EUR
1424a	NA11933	EUR
1444	NA12739	EUR
1444	NA12740	EUR
1444	NA12748	EUR
1444	NA12749	EUR
1444	NA12750	EUR
1444	NA12751	EUR
1447	NA12752	EUR
1447	NA12753	EUR
1447	NA12760	EUR
1447	NA12761	EUR
1447	NA12762	EUR
1447	NA12763	EUR
1451	NA12766	EUR
1451	NA12767	EUR
1451	NA12775	EUR
1451	NA12776	EUR
1451	NA12777	EUR
1451	NA12778	EUR
1454	NA12801	EUR
1454	NA12802	EUR
1454	NA12812	EUR
1454	NA12813	EUR
1454	NA12814	EUR
1454	NA12815	EUR
1456	NA12817	EUR
1456	NA12818	EUR
1456	NA12827	EUR
