FID	IID	Pop	#IID	PAT	MAT	SEX	SuperPop	Population
2446	NA20127	ASW	NA20127	0	0	2.0	AFR	ASW
2446	NA20128	ASW						
2466	NA20276	ASW	NA20276	0	0	2.0	AFR	ASW
2466	NA20277	ASW						
2467	NA20278	ASW	NA20278	0	0	1.0	AFR	ASW
2467	NA20279	ASW						
2469	NA20282	ASW	NA20282	0	0	2.0	AFR	ASW
2469	NA20284	ASW						
2469	NA20285	ASW						
2469a	NA20281	ASW	NA20281	0	0	1.0	AFR	ASW
2470	NA20287	ASW	NA20287	0	0	2.0	AFR	ASW
2470	NA20288	ASW						
2471	NA20289	ASW	NA20289	0	0	2.0	AFR	ASW
2471	NA20290	ASW						
2472	NA20291	ASW	NA20291	0	0	1.0	AFR	ASW
2472	NA20292	ASW						
2474	NA20294	ASW	NA20294	0	0	2.0	AFR	ASW
2474	NA20295	ASW						
2475	NA20296	ASW	NA20296	0	0	2.0	AFR	ASW
2475	NA20297	ASW						
2476	NA20299	ASW	NA20299	0	0	2.0	AFR	ASW
2476	NA20300	ASW						
2476a	NA20298	ASW	NA20298	0	0	1.0	AFR	ASW
2477	NA20301	ASW						
2477	NA20302	ASW						
2478i	NA20312	ASW						
2478ii	NA20313	ASW						
2479	NA20314	ASW	NA20314	0	0	2.0	AFR	ASW
2479	NA20316	ASW						
2480	NA20317	ASW	NA20317	0	0	2.0	AFR	ASW
2480	NA20319	ASW						
2480a	NA20318	ASW	NA20318	0	NA20317	1.0	AFR	ASW
2481	NA20321	ASW	NA20321	0	0	2.0	AFR	ASW
2481	NA20322	ASW						
2481a	NA20320	ASW	NA20320	0	NA20321	2.0	AFR	ASW
2483	NA20332	ASW	NA20332	0	0	2.0	AFR	ASW
2483	NA20333	ASW						
2484	NA20334	ASW	NA20334	0	0	2.0	AFR	ASW
2484	NA20335	ASW						
2484a	NA20355	ASW	NA20355	0	NA20334	2.0	AFR	ASW
2485	NA20336	ASW						
2485	NA20337	ASW						
2486	NA20339	ASW	NA20339	0	0	2.0	AFR	ASW
2487	NA20340	ASW	NA20340	0	0	1.0	AFR	ASW
2487	NA20341	ASW						
2488	NA20342	ASW	NA20342	0	0	1.0	AFR	ASW
2488	NA20343	ASW						
2489	NA20344	ASW						
2489	NA20345	ASW						
2490	NA20346	ASW	NA20346	0	0	1.0	AFR	ASW
2490	NA20347	ASW						
2491	NA20348	ASW	NA20348	0	0	1.0	AFR	ASW
2492	NA20349	ASW						
2492	NA20350	ASW						
2493	NA20351	ASW	NA20351	0	0	1.0	AFR	ASW
2494	NA20356	ASW	NA20356	0	0	1.0	AFR	ASW
2494	NA20357	ASW	NA20357	0	0	2.0	AFR	ASW
2494	NA20358	ASW						
2495	NA20359	ASW	NA20359	0	0	2.0	AFR	ASW
2495	NA20360	ASW						
2495	NA20361	ASW						
2495a	NA20362	ASW	NA20362	0	NA20359	1.0	AFR	ASW
2496	NA20363	ASW						
2496	NA20364	ASW						
2505	NA20412	ASW	NA20412	0	0	2.0	AFR	ASW
2505	NA20413	ASW						
2506	NA20414	ASW						
BD01	HG03006	BEB	HG03006	0	0	1.0	SAS	BEB
BD01	HG03007	BEB	HG03007	0	0	2.0	SAS	BEB
BD01	HG03008	BEB						
BD05	HG03589	BEB	HG03589	0	0	2.0	SAS	BEB
BD05	HG03590	BEB						
BD09	HG03600	BEB	HG03600	0	0	1.0	SAS	BEB
BD09	HG03602	BEB						
BD10	HG03603	BEB	HG03603	0	0	1.0	SAS	BEB
BD10	HG03604	BEB	HG03604	0	0	2.0	SAS	BEB
BD11	HG03605	BEB						
BD11	HG03606	BEB						
BD11	HG03607	BEB	HG03607	0	0	2.0	SAS	BEB
BD12	HG03611	BEB	HG03611	0	0	2.0	SAS	BEB
BD14	HG03615	BEB	HG03615	0	0	1.0	SAS	BEB
BD14	HG03616	BEB	HG03616	0	0	2.0	SAS	BEB
BD14	HG03617	BEB						
BD15	HG03793	BEB	HG03793	0	0	2.0	SAS	BEB
BD15	HG03794	BEB						
BD15	HG03795	BEB						
BD16	HG03796	BEB	HG03796	0	0	2.0	SAS	BEB
BD16	HG03797	BEB						
BD16	HG03798	BEB						
BD17	HG03799	BEB						
BD17	HG03800	BEB	HG03800	0	0	1.0	SAS	BEB
BD17	HG03801	BEB						
BD18	HG03802	BEB	HG03802	0	0	2.0	SAS	BEB
BD18	HG03803	BEB	HG03803	0	0	1.0	SAS	BEB
BD18	HG03804	BEB						
BD19	HG03805	BEB	HG03805	0	0	2.0	SAS	BEB
BD19	HG03806	BEB						
BD19	HG03807	BEB						
BD20	HG03808	BEB	HG03808	0	0	2.0	SAS	BEB
BD20	HG03809	BEB	HG03809	0	0	1.0	SAS	BEB
BD21	HG03811	BEB						
BD21	HG03813	BEB						
BD22	HG03814	BEB	HG03814	0	0	2.0	SAS	BEB
BD22	HG03815	BEB	HG03815	0	0	1.0	SAS	BEB
BD22	HG03816	BEB						
BD23	HG03817	BEB	HG03817	0	0	2.0	SAS	BEB
BD24	HG03821	BEB	HG03821	0	0	1.0	SAS	BEB
BD24	HG03822	BEB						
BD25	HG03823	BEB	HG03823	0	0	2.0	SAS	BEB
BD25	HG03824	BEB	HG03824	0	0	1.0	SAS	BEB
BD25	HG03825	BEB						
BD26	HG03826	BEB	HG03826	0	0	2.0	SAS	BEB
BD27	HG03829	BEB	HG03829	0	0	2.0	SAS	BEB
BD27	HG03830	BEB	HG03830	0	0	1.0	SAS	BEB
BD27	HG03831	BEB						
BD28	HG03832	BEB	HG03832	0	0	2.0	SAS	BEB
BD28	HG03833	BEB	HG03833	0	0	1.0	SAS	BEB
BD28	HG03834	BEB						
BD29	HG03901	BEB						
BD29	HG03903	BEB						
BD3	HG03012	BEB	HG03012	0	0	1.0	SAS	BEB
BD30	HG03904	BEB						
BD30	HG03905	BEB	HG03905	0	0	1.0	SAS	BEB
BD30	HG03906	BEB						
BD31	HG03907	BEB	HG03907	0	0	2.0	SAS	BEB
BD31	HG03908	BEB	HG03908	0	0	1.0	SAS	BEB
BD31	HG03909	BEB						
BD32	HG03910	BEB	HG03910	0	0	2.0	SAS	BEB
BD32	HG03911	BEB	HG03911	0	0	1.0	SAS	BEB
BD33	HG03913	BEB	HG03913	0	0	2.0	SAS	BEB
BD33	HG03914	BEB	HG03914	0	0	1.0	SAS	BEB
BD33	HG03915	BEB						
BD34	HG03917	BEB	HG03917	0	0	1.0	SAS	BEB
BD35	HG03919	BEB	HG03919	0	0	2.0	SAS	BEB
BD35	HG03920	BEB	HG03920	0	0	1.0	SAS	BEB
BD36	HG03922	BEB	HG03922	0	0	2.0	SAS	BEB
BD36	HG03924	BEB						
BD37	HG03925	BEB	HG03925	0	0	2.0	SAS	BEB
BD37	HG03926	BEB	HG03926	0	0	1.0	SAS	BEB
BD37	HG03927	BEB						
BD38	HG03928	BEB	HG03928	0	0	2.0	SAS	BEB
BD38	HG03929	BEB						
BD38	HG03930	BEB						
BD39	HG03931	BEB	HG03931	0	0	2.0	SAS	BEB
BD4	HG03585	BEB	HG03585	0	0	1.0	SAS	BEB
BD4	HG03587	BEB						
BD40	HG03934	BEB	HG03934	0	0	2.0	SAS	BEB
BD41	HG03937	BEB	HG03937	0	0	2.0	SAS	BEB
BD41	HG03939	BEB						
BD42	HG03940	BEB	HG03940	0	0	2.0	SAS	BEB
BD42	HG03941	BEB	HG03941	0	0	1.0	SAS	BEB
BD42	HG03942	BEB						
BD43	HG04128	BEB						
BD44	HG04131	BEB	HG04131	0	0	1.0	SAS	BEB
BD44	HG04132	BEB						
BD44	HG04133	BEB						
BD45	HG04134	BEB	HG04134	0	0	1.0	SAS	BEB
BD45	HG04135	BEB						
BD45	HG04136	BEB						
BD47	HG04140	BEB	HG04140	0	0	1.0	SAS	BEB
BD47	HG04141	BEB	HG04141	0	0	2.0	SAS	BEB
BD47	HG04142	BEB						
BD48	HG04144	BEB	HG04144	0	0	2.0	SAS	BEB
BD49	HG04146	BEB	HG04146	0	0	1.0	SAS	BEB
BD49	HG04147	BEB						
BD49	HG04148	BEB						
BD50	HG04149	BEB						
BD50	HG04150	BEB						
BD50	HG04151	BEB						
BD51	HG04152	BEB	HG04152	0	0	1.0	SAS	BEB
BD51	HG04153	BEB	HG04153	0	0	2.0	SAS	BEB
BD52	HG04155	BEB	HG04155	0	0	1.0	SAS	BEB
BD52	HG04156	BEB	HG04156	0	0	2.0	SAS	BEB
BD52	HG04157	BEB						
BD53	HG04158	BEB	HG04158	0	0	1.0	SAS	BEB
BD53	HG04159	BEB	HG04159	0	0	2.0	SAS	BEB
BD53	HG04160	BEB						
BD54	HG04161	BEB	HG04161	0	0	1.0	SAS	BEB
BD54	HG04162	BEB	HG04162	0	0	2.0	SAS	BEB
BD55	HG04164	BEB	HG04164	0	0	1.0	SAS	BEB
BD57	HG04171	BEB	HG04171	0	0	2.0	SAS	BEB
